code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,brand,assortment_size,size_options,color_options,flavor_options,whatsapp_enabled,image
ROP-001,"Remera estampada Aorus",18900.00,Remeras,"Remera unisex de algodón peinado 24/1 con estampa serigrafiada.","Remera de algodón",14900.00,ARS,Principal,publish,instock,1,40,Aorus,,S|M|L|XL,Negro,,1,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp
ROP-002,"Camisa escocesa hombre",32500.00,Camisas,"Camisa de franela liviana, corte regular, ideal para entretiempo.","Camisa a cuadros",,ARS,Principal,publish,instock,1,25,Levis,,S|M|L|XL,Rojo|Azul,,1,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp
ROP-003,"Camisa manga corta",27900.00,Camisas,"Camisa de manga corta en algodón liviano, corte relajado.","Camisa de verano",22900.00,ARS,Principal,publish,instock,1,30,Levis,,S|M|L|XL,Celeste|Blanco,,1,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
ROP-004,"Camisa a cuadros",29900.00,Camisas,"Camisa de algodón a cuadros con bolsillo en el pecho.","Camisa clásica",,ARS,Principal,publish,instock,1,18,Wrangler,,M|L|XL,Azul|Gris,,1,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp
ROP-005,"Vestido azul",38900.00,Vestidos,"Vestido de viscosa con caída suave, apto para uso diario.","Vestido casual",,ARS,Principal,publish,instock,1,15,Zara,,S|M|L,Azul,,1,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
ROP-006,"Vestido de verano",24900.00,Vestidos,"Vestido de verano en tela fresca con estampa floral.","Vestido liviano",19900.00,ARS,Principal,publish,instock,1,22,Zara,,S|M|L,Estampado,,1,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp
ROP-007,"Vestido gris de punto",41900.00,Vestidos,"Vestido de punto con textura, cómodo y abrigado.","Vestido de punto",,ARS,Principal,publish,instock,1,12,H&M,,S|M|L|XL,Gris,,1,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
ROP-008,"Vestido corto",31900.00,Vestidos,"Vestido corto entallado, ideal para eventos.","Vestido de fiesta",,ARS,Principal,publish,instock,1,14,Mango,,S|M,Negro,,1,https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp
ROP-009,"Vestido tartán",45900.00,Vestidos,"Vestido con estampa tartán y cinto al tono.","Vestido escocés",38900.00,ARS,Principal,publish,instock,1,9,Mango,,S|M|L,Rojo,,1,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp
ROP-010,"Conjunto corset y falda",62900.00,Vestidos,"Conjunto de corset con falda negra, tela con elastano.","Corset y falda",,ARS,Principal,publish,instock,1,7,Shein,,S|M|L,Negro,,1,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp
CAL-001,"Zapatillas Air Jordan 1",189900.00,Calzado,"Zapatillas Air Jordan 1 en cuero, caña alta, suela de goma.","Jordan 1 caña alta",159900.00,ARS,Principal,publish,instock,1,12,Nike,,39|40|41|42|43,Rojo|Negro,,1,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp
CAL-002,"Botines de béisbol Nike",124900.00,Calzado,"Botines de béisbol con tapones moldeados y buen agarre.","Botines con tapones",,ARS,Principal,publish,instock,1,8,Nike,,40|41|42|43,Negro,,1,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp
CAL-003,"Zapatillas Puma Future Rider",139900.00,Calzado,"Zapatillas Puma Future Rider con entresuela amortiguada.","Future Rider",119900.00,ARS,Principal,publish,instock,1,20,Puma,,39|40|41|42|43|44,Blanco|Azul,,1,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
CAL-004,"Zapatillas off white",98900.00,Calzado,"Zapatillas deportivas de malla transpirable.","Zapatillas livianas",,ARS,Principal,publish,instock,1,16,Adidas,,39|40|41|42,Blanco|Rojo,,1,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
CAL-005,"Stilettos Calvin Klein",145900.00,Calzado,"Stilettos de cuero con taco de 9 cm y plantilla acolchada.","Stilettos de cuero",,ARS,Principal,publish,instock,1,10,"Calvin Klein",,35|36|37|38|39,Negro,,1,https://cdn.dummyjson.com/product-images/womens-shoes/calvin-klein-heel-shoes/thumbnail.webp
CAL-006,"Zapatos dorados",87900.00,Calzado,"Zapatos dorados con taco medio para eventos.","Zapatos de fiesta",69900.00,ARS,Principal,publish,instock,1,11,Mango,,35|36|37|38,Dorado,,1,https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp
CAL-007,"Zapatos rojos",79900.00,Calzado,"Zapatos rojos de punta fina y taco medio.","Zapatos de taco",,ARS,Principal,publish,instock,1,13,Zara,,35|36|37|38|39,Rojo,,1,https://cdn.dummyjson.com/product-images/womens-shoes/red-shoes/thumbnail.webp
CAL-008,"Zapatos bajos Pampi",54900.00,Calzado,"Zapatos bajos de cuero, cómodos para todo el día.","Zapatos bajos",,ARS,Principal,publish,instock,1,17,Pampi,,36|37|38|39,Marrón,,1,https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp
ACC-001,"Anteojos de sol negros",34900.00,Accesorios,"Anteojos de sol con protección UV400 y marco liviano.","Lentes UV400",27900.00,ARS,Principal,publish,instock,1,35,Ray-Ban,,,Negro,,1,https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp
ACC-002,"Anteojos de sol clásicos",29900.00,Accesorios,"Anteojos de sol de diseño clásico con lentes polarizadas.","Modelo clásico",,ARS,Principal,publish,instock,1,28,Ray-Ban,,,Carey,,1,https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp
ACC-003,"Cartera Prada",689900.00,Accesorios,"Cartera de cuero italiano con herrajes dorados.","Cartera de cuero",,ARS,Principal,publish,instock,1,3,Prada,,,Negro,,1,https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp
ACC-004,"Mochila símil cuero",74900.00,Accesorios,"Mochila de símil cuero con bolsillo para notebook de 14 pulgadas.","Mochila urbana",59900.00,ARS,Principal,publish,instock,1,21,Eastpak,,,Blanco,,1,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp
ACC-005,"Reloj malla de cuero",96900.00,Accesorios,"Reloj analógico con malla de cuero y resistencia al agua 3 ATM.","Reloj clásico",,ARS,Principal,publish,instock,1,14,Fossil,,,Marrón,,1,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp
ACC-006,"Reloj dorado de mujer",112900.00,Accesorios,"Reloj de mujer en acero dorado con calendario.","Reloj dorado",94900.00,ARS,Principal,publish,instock,1,9,"Michael Kors",,,Dorado,,1,https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp
