code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,size_options,color_options,whatsapp_enabled,image
IND-001,Remera estampada Aorus,18900.00,Indumentaria,Remera unisex de algodón peinado 24/1 con estampa serigrafiada.,Remera de algodón con estampa frontal,14900.00,ARS,Principal,publish,instock,1,40,S|M|L|XL,Negro,1,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp
IND-002,Camisa escocesa hombre,32500.00,Indumentaria,"Camisa de franela liviana, corte regular, ideal para entretiempo.",Camisa de franela a cuadros,,ARS,Principal,publish,instock,1,25,S|M|L|XL,Rojo|Azul,1,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp
IND-003,Camisa manga corta hombre,27900.00,Indumentaria,"Camisa de manga corta en algodón liviano, corte relajado.",Camisa fresca de verano,22900.00,ARS,Principal,publish,instock,1,30,S|M|L|XL,Celeste|Blanco,1,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
IND-004,Camisa a cuadros hombre,29900.00,Indumentaria,Camisa de algodón a cuadros con bolsillo en el pecho.,Camisa clásica a cuadros,,ARS,Principal,publish,instock,1,18,M|L|XL,Azul|Gris,1,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp
IND-005,Vestido azul,38900.00,Indumentaria,"Vestido de viscosa con caída suave, apto para uso diario.",Vestido casual azul,,ARS,Principal,publish,instock,1,15,S|M|L,Azul,1,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
IND-006,Vestido de verano,24900.00,Indumentaria,Vestido de verano en tela fresca con estampa floral.,Vestido liviano estampado,19900.00,ARS,Principal,publish,instock,1,22,S|M|L,Estampado,1,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp
IND-007,Vestido gris,41900.00,Indumentaria,"Vestido de punto con textura, cómodo y abrigado.",Vestido gris de punto,,ARS,Principal,publish,instock,1,12,S|M|L|XL,Gris,1,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
IND-008,Vestido corto,31900.00,Indumentaria,"Vestido corto entallado, ideal para eventos.",Vestido corto de fiesta,,ARS,Principal,publish,instock,1,14,S|M,Negro,1,https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp
IND-009,Vestido tartán,45900.00,Indumentaria,Vestido con estampa tartán y cinto al tono.,Vestido escocés,38900.00,ARS,Principal,publish,instock,1,9,S|M|L,Rojo,1,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp
IND-010,Corset con falda negra,62900.00,Indumentaria,"Conjunto de corset con falda negra, tela con elastano.",Conjunto corset y falda,,ARS,Principal,publish,instock,1,7,S|M|L,Negro,1,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp
