code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,brand,assortment_size,size_options,color_options,flavor_options,whatsapp_enabled,image
BEL-001,"Labial rojo mate",14900.00,Maquillaje,"Labial cremoso de larga duración con acabado mate.","Labial mate",,ARS,Principal,publish,instock,1,40,MAC,,,Rojo|Nude|Bordó,,1,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
BEL-002,"Paleta de sombras",26900.00,Maquillaje,"Paleta de 12 tonos mate y satinados, con espejo.","Paleta 12 tonos",21900.00,ARS,Principal,publish,instock,1,18,"Urban Decay",,,,,1,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
BEL-003,"Polvo compacto",18900.00,Maquillaje,"Polvo compacto para sellar el maquillaje.","Polvo translúcido",,ARS,Principal,publish,instock,1,24,Maybelline,,,Beige|Arena|Canela,,1,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
SKN-010,"Jabón de manos Attitude",11900.00,"Cuidado de la piel","Jabón líquido con ingredientes de origen vegetal.","Jabón natural",,ARS,Principal,publish,instock,1,30,Attitude,,,,,1,https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/thumbnail.webp
PER-020,"CK One 100 ml",98900.00,Fragancias,"Eau de toilette unisex, familia cítrica.","CK One 100 ml",84900.00,ARS,Principal,publish,instock,1,10,"Calvin Klein",,50ml|100ml,,,1,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
PER-021,"Gucci Bloom",159900.00,Fragancias,"Eau de parfum floral con notas de jazmín y nardo.","Bloom EDP",,ARS,Principal,publish,instock,1,6,Gucci,,50ml|100ml,,,1,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
CAB-030,"Shampoo reparación 400 ml",8900.00,"Cuidado capilar","Shampoo para cabello dañado. 400 ml.","Shampoo 400 ml",,ARS,Principal,publish,instock,1,28,Loreal,,,,Reparación|Hidratación|Anticaspa,1,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=800&q=80
CAB-031,"Acondicionador 400 ml",8900.00,"Cuidado capilar","Acondicionador par de shampoo. 400 ml.","Acondicionador 400 ml",,ARS,Principal,publish,instock,1,26,Loreal,,,,Reparación|Hidratación,1,https://images.unsplash.com/photo-1535585209827-a15fcdbc4c2d?auto=format&fit=crop&w=800&q=80
HIG-040,"Protector solar FPS 50",15900.00,"Cuidado de la piel","Protector facial FPS 50, toque seco. 50 ml.","FPS 50 50 ml",,ARS,Principal,publish,instock,1,20,"La Roche-Posay",,,,,1,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?auto=format&fit=crop&w=800&q=80
HIG-041,"Crema hidratante facial",12900.00,"Cuidado de la piel","Hidratante de día para todo tipo de piel. 50 ml.","Hidratante 50 ml",10900.00,ARS,Principal,publish,instock,1,22,CeraVe,,,,,1,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=800&q=80
HIG-042,"Kit de higiene dental",4900.00,Higiene,"Cepillo + pasta + hilo. Combo de viaje.","Kit dental",,ARS,Principal,publish,instock,1,35,Colgate,3,,,,1,https://images.unsplash.com/photo-1559591935-c6c92c6c2c8a?auto=format&fit=crop&w=800&q=80
UÑA-050,"Esmalte de uñas",4200.00,Maquillaje,"Esmalte de secado rápido. 8 ml.","Esmalte 8 ml",,ARS,Principal,publish,instock,1,40,Essie,,,Rojo|Nude|Negro|Rosa,,1,https://images.unsplash.com/photo-1519014816548-bf5fe059798b?auto=format&fit=crop&w=800&q=80
