code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,brand,assortment_size,size_options,color_options,flavor_options,whatsapp_enabled,image
HER-001,"Taladro percutor 13 mm",89900.00,"Herramientas eléctricas","Taladro percutor 650 W, mandril de 13 mm. Incluye maletín.","Taladro 650 W",79900.00,ARS,Principal,publish,instock,1,8,Bosch,,,,,1,https://images.unsplash.com/photo-1504148455328-c376907d081c?auto=format&fit=crop&w=800&q=80
HER-002,"Amoladora 115 mm",65900.00,"Herramientas eléctricas","Amoladora angular 850 W, disco de 115 mm.","Amoladora 115 mm",,ARS,Principal,publish,instock,1,6,Makita,,,,,1,https://images.unsplash.com/photo-1504148455328-c376907d081c?auto=format&fit=crop&w=800&q=80
HER-003,"Martillo carpintero 16 oz",8900.00,"Herramientas manuales","Martillo con cabo de fibra y cabeza forjada.","Martillo 16 oz",,ARS,Principal,publish,instock,1,20,Stanley,,,,,1,https://images.unsplash.com/photo-1586864387967-d02ef85d93e8?auto=format&fit=crop&w=800&q=80
HER-004,"Juego de destornilladores x 6",12900.00,"Herramientas manuales","Phillips y planos. Mangos aislados 1000 V.","Destornilladores x 6",,ARS,Principal,publish,instock,1,15,Stanley,6,,,,1,https://images.unsplash.com/photo-1530124566582-a618bc2615dc?auto=format&fit=crop&w=800&q=80
HER-005,"Cinta métrica 5 m",4900.00,"Herramientas manuales","Cinta de 5 metros con freno y gancho magnético.","Cinta 5 m",,ARS,Principal,publish,instock,1,30,Stanley,,3m|5m|8m,,,1,https://images.unsplash.com/photo-1530124566582-a618bc2615dc?auto=format&fit=crop&w=800&q=80
PIN-010,"Látex interior 4 L",18900.00,Pinturería,"Látex lavable para interiores. Rinde 10 m² por litro.","Látex 4 L",,ARS,Principal,publish,instock,1,18,Alba,,4L|10L,Blanco|Hueso|Gris,,1,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=800&q=80
PIN-011,"Esmalte sintético 1 L",9900.00,Pinturería,"Esmalte brillante para metal y madera.","Esmalte 1 L",8500.00,ARS,Principal,publish,instock,1,22,Alba,,,"Blanco|Negro|Negro satinado",,1,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=800&q=80
PIN-012,"Rodillo de lana 22 cm",3200.00,Pinturería,"Rodillo de lana para látex. Incluye bandeja.","Rodillo 22 cm",,ARS,Principal,publish,instock,1,25,"El Galgo",,,,,1,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=800&q=80
TOR-020,"Tornillos para madera x 100",2800.00,Fijaciones,"Tornillos 4 x 40 mm. Caja de 100.","Caja x 100",,ARS,Principal,publish,instock,1,40,Hilti,100,3x25|4x40|5x50,,,1,https://images.unsplash.com/photo-1581092160562-40aa08e78837?auto=format&fit=crop&w=800&q=80
TOR-021,"Tarugos Fischer x 50",2100.00,Fijaciones,"Tarugos de 8 mm. Bolsa de 50.","Tarugos 8 mm",,ARS,Principal,publish,instock,1,35,Fischer,50,6mm|8mm|10mm,,,1,https://images.unsplash.com/photo-1581092160562-40aa08e78837?auto=format&fit=crop&w=800&q=80
ELE-030,"Cable 2.5 mm x 100 m",45900.00,Electricidad,"Cable unipolar 2.5 mm². Rollo de 100 metros.","Cable 2.5 mm",,ARS,Principal,publish,instock,1,10,Prysmian,,,Negro|Rojo|Verde,,1,https://images.unsplash.com/photo-1558618666-fcd25c85cd82?auto=format&fit=crop&w=800&q=80
ELE-031,"Toma corriente 10A",1900.00,Electricidad,"Toma 10A con placa. Línea de embutir.","Toma 10A",,ARS,Principal,publish,instock,1,50,Jeluz,,,Blanco|Marfil,,1,https://images.unsplash.com/photo-1558618666-fcd25c85cd82?auto=format&fit=crop&w=800&q=80
ELE-032,"Interruptor termomagnético 16A",8900.00,Electricidad,"Llave térmica bipolar 16A curva C.","Térmica 16A",,ARS,Principal,publish,instock,1,16,Schneider,,10A|16A|20A|25A,,,1,https://images.unsplash.com/photo-1558618666-fcd25c85cd82?auto=format&fit=crop&w=800&q=80
PLU-040,"Caño termofusión 20 mm x 4 m",2400.00,Plomería,"Caño de polipropileno 20 mm. Tramo de 4 metros.","Caño 20 mm",,ARS,Principal,publish,instock,1,40,Aquasystem,,20mm|25mm|32mm,,,1,https://images.unsplash.com/photo-1581092918056-0c4c3acd3789?auto=format&fit=crop&w=800&q=80
