code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,brand,assortment_size,size_options,color_options,flavor_options,whatsapp_enabled,image
PIZ-001,"Pizza muzzarella",8900.00,Pizzas,"Muzzarella, salsa de tomate y orégano. Horneada a la piedra.","Muzza a la piedra",,ARS,todas,publish,instock,0,20,Casa,,Individual|Mediana|Grande,,,1,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=800&q=80
PIZ-002,"Pizza napolitana",9800.00,Pizzas,"Muzzarella, rodajas de tomate, ajo y albahaca.",Napolitana,,ARS,todas,publish,instock,0,20,Casa,,Individual|Mediana|Grande,,,1,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=800&q=80
PIZ-003,"Pizza especial",12500.00,Pizzas,"Muzzarella, jamón, morrones y aceitunas.",Especial,10900.00,ARS,todas,publish,instock,0,20,Casa,,Mediana|Grande,,,1,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=800&q=80
PIZ-004,"Pizza fugazzeta",11900.00,Pizzas,"Muzzarella y cebolla. Rellena o al molde, consultá.",Fugazzeta,,ARS,todas,publish,instock,0,20,Casa,,Mediana|Grande,,,1,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=800&q=80
EMP-010,"Docena de empanadas",9800.00,Empanadas,"Docena a elección. Cada gusto es una variante del pedido.","Docena mixta",,ARS,todas,publish,instock,0,20,,12,,,Carne|Pollo|JyQ|Cebolla|Humita|Caprese,1,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=800&q=80
EMP-011,"Media docena de empanadas",5400.00,Empanadas,"Seis empanadas a elección.","Media docena",,ARS,todas,publish,instock,0,20,,6,,,Carne|Pollo|JyQ|Cebolla|Humita,1,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=800&q=80
EMP-012,"Empanada suelta",950.00,Empanadas,"Unidad. Ideal para probar un gusto.",Unidad,,ARS,todas,publish,instock,0,20,,,,,Carne|Pollo|JyQ|Cebolla|Humita|Caprese,1,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=800&q=80
HAM-020,"Hamburguesa clásica",6900.00,Hamburguesas,"Medallón de 140 g, cheddar, lechuga, tomate y salsa de la casa.","Clásica 140 g",,ARS,todas,publish,instock,0,20,,,Simple|Doble,,,1,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=800&q=80
HAM-021,"Hamburguesa bacon",7900.00,Hamburguesas,"Medallón de 140 g, cheddar, panceta crocante y cebolla crispy.","Bacon cheddar",,ARS,todas,publish,instock,0,20,,,Simple|Doble,,,1,https://images.unsplash.com/photo-1571091718763-4b296ca27e4d?auto=format&fit=crop&w=800&q=80
HAM-022,"Hamburguesa veggie",7200.00,Hamburguesas,"Medallón de lentejas y quinoa, rúcula y mayo de albahaca.",Veggie,,ARS,todas,publish,instock,0,20,,,,,,1,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=800&q=80
MIL-030,"Milanesa napolitana",8900.00,Milanesas,"Milanesa de ternera con salsa, jamón y muzzarella. Incluye guarnición.","Napolitana con guarnición",,ARS,todas,publish,instock,0,20,,,,,"Papas fritas|Puré|Ensalada",1,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?auto=format&fit=crop&w=800&q=80
MIL-031,"Milanesa de pollo",7900.00,Milanesas,"Suprema de pollo rebozada. Incluye guarnición.","Suprema con guarnición",7200.00,ARS,todas,publish,instock,0,20,,,,,"Papas fritas|Puré|Ensalada",1,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
