code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,brand,assortment_size,size_options,color_options,flavor_options,whatsapp_enabled,image
FRU-001,"Manzana roja",2200.00,Frutas,"Manzana roja por kg. Crocante y dulce.","Manzana por kg",,ARS,Principal,publish,instock,1,80,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
FRU-002,Kiwi,3900.00,Frutas,"Kiwi por kg. Ideal para licuados.","Kiwi por kg",,ARS,Principal,publish,instock,1,40,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
FRU-003,Limón,1800.00,Frutas,"Limón por kg. Jugosos, para cocina y jugos.","Limón por kg",1500.00,ARS,Principal,publish,instock,1,60,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp
FRU-004,Frutilla,4500.00,Frutas,"Frutilla por bandeja de 500 g.","Bandeja 500 g",,ARS,Principal,publish,instock,1,25,,1,,,,1,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp
FRU-005,Mora,5200.00,Frutas,"Mora por bandeja de 250 g.","Bandeja 250 g",,ARS,Principal,publish,instock,1,18,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp
VER-010,Papa,890.00,Verduras,"Papa negra por kg. Bolsa de 5 kg con precio especial.","Papa por kg",,ARS,Principal,publish,instock,1,120,,,1kg|5kg,,,1,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp
VER-011,"Cebolla colorada",1100.00,Verduras,"Cebolla colorada por kg.","Cebolla por kg",,ARS,Principal,publish,instock,1,90,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp
VER-012,"Morrón verde",2800.00,Verduras,"Morrón verde por kg.","Morrón por kg",,ARS,Principal,publish,instock,1,35,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
VER-013,"Ají verde",2400.00,Verduras,"Ají verde picante por kg.","Ají por kg",,ARS,Principal,publish,instock,1,20,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
VER-014,Pepino,1600.00,Verduras,"Pepino por kg. Ideal para ensaladas.","Pepino por kg",1400.00,ARS,Principal,publish,instock,1,45,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
VER-015,"Lechuga mantecosa",1500.00,Verduras,"Unidad. Hojas tiernas, cosecha del día.","Lechuga unidad",,ARS,Principal,publish,instock,1,40,,,,,,1,https://images.unsplash.com/photo-1622205313162-be1d5712a43f?auto=format&fit=crop&w=800&q=80
VER-016,"Tomate redondo",2100.00,Verduras,"Tomate redondo por kg.","Tomate por kg",,ARS,Principal,publish,instock,1,55,,,,,,1,https://images.unsplash.com/photo-1546470427-227c7369a62d?auto=format&fit=crop&w=800&q=80
VER-017,Zanahoria,990.00,Verduras,"Zanahoria por kg. Bolsa de 2 kg disponible.","Zanahoria por kg",,ARS,Principal,publish,instock,1,70,,,1kg|2kg,,,1,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?auto=format&fit=crop&w=800&q=80
HUE-020,"Maple de huevos",6200.00,Almacén,"Maple de 30 huevos colorados.","Maple x 30",,ARS,Principal,publish,instock,1,22,Granja,30,,,,1,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
HUE-021,"Media docena de huevos",1600.00,Almacén,"Seis huevos colorados.","x 6",,ARS,Principal,publish,instock,1,40,Granja,6,,,,1,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
ALM-030,"Aceite de girasol 1.5 L",3200.00,Almacén,"Aceite de girasol 1.5 litros.","Girasol 1.5 L",2890.00,ARS,Principal,publish,instock,1,30,Cocinero,,1.5L,,,1,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
ALM-031,"Arroz largo fino 1 kg",1450.00,Almacén,"Arroz largo fino. Paquete de 1 kg.","Arroz 1 kg",,ARS,Principal,publish,instock,1,48,Gallo,,,,,1,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
ALM-032,"Miel 500 g",3900.00,Almacén,"Miel cremosa de campo. Frasco de 500 g.","Miel 500 g",,ARS,Principal,publish,instock,1,16,Abeja,,,,,1,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp
ALM-033,"Leche entera 1 L",1100.00,Almacén,"Leche entera larga vida.","Leche 1 L",,ARS,Principal,publish,instock,1,50,"La Serenísima",,,,Entera|Descremada,1,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp
CAR-040,"Bife de chorizo",8900.00,Carnicería,"Bife de chorizo por kg. Corte del día.","Bife por kg",,ARS,Principal,publish,instock,1,12,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
CAR-041,"Suprema de pollo",5200.00,Carnicería,"Suprema de pollo por kg.","Suprema por kg",,ARS,Principal,publish,instock,1,18,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
CAR-042,"Filet de merluza",6100.00,Carnicería,"Filet de merluza por kg. Congelado o fresco, consultá.","Merluza por kg",5490.00,ARS,Principal,publish,instock,1,10,,,,,,1,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
