code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,brand,assortment_size,size_options,color_options,flavor_options,whatsapp_enabled,image,barcode,oem
FRE-010,Pastilla de freno delantera,28900.00,Frenos,Juego de pastillas delanteras. Consultá fitment por WhatsApp.,Pastillas delanteras,,ARS,Principal,publish,instock,1,16,Bosch,,,,,1,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=800&q=80,7790001000012,7H0 698 151 D
FRE-011,Disco de freno ventilado,45900.00,Frenos,Disco ventilado de 280 mm. Venta por unidad.,Disco ventilado,,ARS,Principal,publish,instock,1,10,Brembo,,,,,1,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=800&q=80,7790001000029,8E0 615 301 L
FRE-012,Líquido de frenos DOT 4,8900.00,Frenos,Envase de 500 ml. Punto de ebullición seco 230 °C.,DOT 4 500 ml,,ARS,Principal,publish,instock,1,40,Bosch,,500ml,,,1,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,7790001000036,000 043 203 68
FIL-020,Filtro de aceite,7900.00,Filtros,Filtro roscado de aceite. Verificar aplicación.,Filtro de aceite,,ARS,Principal,publish,instock,1,35,Mann Filter,,,,,1,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?auto=format&fit=crop&w=800&q=80,7790001000043,W 712/75
FIL-021,Filtro de aire,12900.00,Filtros,Filtro de aire de panel. Mejora el flujo y retiene polvo.,Filtro de aire,,ARS,Principal,publish,instock,1,22,Mann Filter,,,,,1,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?auto=format&fit=crop&w=800&q=80,7790001000050,C 27 130
FIL-022,Filtro de habitáculo,9900.00,Filtros,Filtro de polen con carbón activado.,Filtro de cabina,7900.00,ARS,Principal,publish,instock,1,28,Bosch,,,,,1,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?auto=format&fit=crop&w=800&q=80,7790001000067,CUK 2939
FIL-023,Filtro de combustible,14900.00,Filtros,Filtro de nafta en línea. Cambio cada 20.000 km.,Filtro de nafta,,ARS,Principal,publish,instock,1,18,Bosch,,,,,1,https://images.unsplash.com/photo-1619642751034-765dfdf7c58e?auto=format&fit=crop&w=800&q=80,7790001000074,WK 512
ENC-030,Bujía de iridio,6900.00,Encendido,Bujía de iridio de larga duración. Precio por unidad.,Bujía iridio,,ARS,Principal,publish,instock,1,48,NGK,,,,,1,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?auto=format&fit=crop&w=800&q=80,7790001000081,BKR6EIX-11
ENC-031,Juego de cables de bujía,22900.00,Encendido,Juego de 4 cables con terminales de silicona.,Cables de bujía,,ARS,Principal,publish,instock,1,12,NGK,,,,,1,https://images.unsplash.com/photo-1619642751034-765dfdf7c58e?auto=format&fit=crop&w=800&q=80,7790001000098,RC-VW206
ENC-032,Bobina de encendido,34900.00,Encendido,Bobina individual tipo pencil. Verificar conector.,Bobina pencil,,ARS,Principal,publish,instock,1,9,Bosch,,,,,1,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?auto=format&fit=crop&w=800&q=80,7790001000104,0221504470
SUS-040,Amortiguador delantero,78900.00,Suspensión,Amortiguador hidráulico delantero. Precio por unidad.,Amortiguador delantero,,ARS,Principal,publish,instock,1,8,Monroe,,,,,1,https://images.unsplash.com/photo-1619642751034-765dfdf7c58e?auto=format&fit=crop&w=800&q=80,7790001000111,23965
SUS-041,Amortiguador trasero,65900.00,Suspensión,Amortiguador trasero a gas. Precio por unidad.,Amortiguador trasero,58900.00,ARS,Principal,publish,instock,1,8,Monroe,,,,,1,https://images.unsplash.com/photo-1619642751034-765dfdf7c58e?auto=format&fit=crop&w=800&q=80,7790001000128,23966
SUS-042,Rulemán de rueda,32900.00,Suspensión,Rulemán de maza con abs. Consultá lado y modelo.,Rulemán de maza,,ARS,Principal,publish,instock,1,14,SKF,,,,,1,https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?auto=format&fit=crop&w=800&q=80,7790001000135,VKBA 3643
ELE-050,Batería 12V 60Ah,98900.00,Electricidad,Batería libre de mantenimiento 12V 60Ah. Instalación en el local.,Batería 60Ah,,ARS,Principal,publish,instock,1,6,Bosch,,,,,1,https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=800&q=80,7790001000142,S4 005
ELE-051,Alternador remanufacturado,145900.00,Electricidad,Alternador remanufacturado con garantía de 6 meses.,Alternador,,ARS,Principal,publish,instock,1,4,Valeo,,,,,1,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?auto=format&fit=crop&w=800&q=80,7790001000159,439558
ELE-052,Lámpara H4 12V,4900.00,Electricidad,Lámpara halógena H4 60/55W. Precio por unidad.,Lámpara H4,,ARS,Principal,publish,instock,1,50,Osram,,,Blanco|Amarillo,,1,https://images.unsplash.com/photo-1503376763128-e365b9d7a126?auto=format&fit=crop&w=800&q=80,7790001000166,64193
LUB-060,Aceite sintético 5W-30,24900.00,Lubricantes,Aceite 100% sintético 5W-30. Bidón de 4 litros.,5W-30 4 L,,ARS,Principal,publish,instock,1,24,Motul,,4L,,,1,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,7790001000173,8100 5W-30
LUB-061,Aceite mineral 20W-50,16900.00,Lubricantes,Aceite mineral 20W-50 para motores de alto kilometraje. Bidón de 4 litros.,20W-50 4 L,14900.00,ARS,Principal,publish,instock,1,30,YPF Elaion,,4L,,,1,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,7790001000180,20W-50
LUB-062,Refrigerante orgánico,8900.00,Lubricantes,Refrigerante orgánico concentrado. Bidón de 1 litro.,Refrigerante 1 L,,ARS,Principal,publish,instock,1,26,Prestone,,1L,Verde|Rosa,,1,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,7790001000197,AF2100
